Reviews,Positive,Negative,Neutral
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
hospitality kindness cleanliness and service were there as expected homely and friendly staffready to offer help and even directions to outdoor services and centersfriendly and personal service the staff were all very friendly and helpful and no request for assistance was a problem for themread more,0.26,0.083,0.657
dear guest thank you for taking out the time to share this valuable feedback with us as grand hyatt mumbai we strive to deliver a superior service to all our guests and try to exceed our guests expectations we are absolutely delighted to know we could deliver so in your case too we are delighted to know we were able to create a memorable experience for you and the grand hyatt team will be highly motivated by your constructive comments grand hyatt stands with delivering the best of luxury hospitality and service and we are much delighted to know that you enjoyed every bit of it look forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences  read more,0.332,0.0,0.668
this review is based on my most recent stay at this property this month but some of the comments are applicable to previous visits as well   the grand hyatt mumbai is a large hotel with many rooms suites and residences apartments and caters to a diverse clientele of business and leisure travelers tour groups event attendees airline crews wedding parties sports teams etc the rooms are finespacious and comfortable with all usual amenities expected from a luxury hotel no premium toiletries though however the carpeting looks dated and the corridors lack proper ventilation or so it seemssince it smells of food alcohol air freshener and other odd odors during different times of the day   one area where ive found the hotel to be consistently lacking is…read more,0.102,0.061,0.837
dear guest thank you for taking out the time to share this valuable feedback with us as grand hyatt mumbai we strive to deliver a superior service to all our guests and try to exceed our guests expectations we are absolutely delighted to know we could deliver so in your case too we are delighted to know we were able to create a memorable experience for you and the grand hyatt team will be highly motivated by your constructive comments grand hyatt stands with delivering the best of luxury hospitality and service and we are much delighted to know that you enjoyed every bit of it look forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences  read more,0.332,0.0,0.668
excellent services by banquet department  food is good  staff cooperative  rooms good only group check in poor  rajesh hospitality was very good we are here for medical conference and exhibition with more than  guestread more,0.277,0.068,0.655
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
the event organised by our company at grand hyatt hotel  event name femmtek its really a good feeling and well maintained staff  and hardworking for me ill be looking few more events with them in future read more,0.219,0.061,0.72
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
very good staff very cooperative people like chandrashekhar amit etc do come whenever feel like good ambiance   i came here for a conference nice comfortable place good food place is good people are good staff is goodread more,0.474,0.0,0.526
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
we used grand hyatt’s banquet for a corporate event and loved banquet team they are so supportive and helpful especially sunil rajesh chandrashekhar and all others in the banquet team thankyou so much for all the help and support it was pleasant working together and had an amazing experienceread more,0.376,0.0,0.624
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
best work  best cordinator never ending journey will always be a pleasure working with you especially rajesh sharma  somnath  rahul the best one cordinator on banquet hall thankyou for your love and support read more,0.444,0.0,0.556
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
staff was very co operative and good will definitely visit once again john and kaushal both were very helpful to us they both was helping in in and everything wherever possible they were there this staffread more,0.248,0.0,0.752
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
kalpesh   rajesh both are very helpful intern of finding things n over all and the re very polite and kind nature towards delegate and even delegate were saying the conference femmtek held at grand hyatt had better experience as compared to earliest read more,0.24,0.0,0.76
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
i hed a gread exprethere overall the staff was kind very helpful the food was mild as indian standard grand hayyat best hotel in india staff is very helpful bankiwit setap very nice room is very nice i am very happy read more,0.435,0.0,0.565
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
we had dinner at china house the food was excellent especially the peking duck the staff is superbly helpful and efficient especially amat akshay dewan and ketan  very friendly i got a complimentary cake on short notice as it was my birthday wonderful ambience overall but word of advice if ur coming here on a saturday night the place will be vibrating from the club below read more,0.17,0.0,0.83
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
the food was great and saif helped me and my family with food service water and dessert as well we enjoyed our experience due to saifs kind assistance at the femmetek banquet on  november  read more,0.287,0.0,0.713
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
china house  amazing ambience and food and service very pleasant experience we had the twisted old fashion cocktail peking duck prawns cheung fun everything was really delicious    to the chef and the bartender our server was very prompt and polite overall really good dinner thank you read more,0.33,0.0,0.67
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
really good italian food great spread rushabh understood our requirements and helped with very good suggestions we had primevera pizza and penne arrabiata for dessert we had a spread of different chocolates loved the overall experience read more,0.297,0.0,0.703
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
we had a very great experience at  east restaurant tge food quality and spread was superh and service was too good alpesh who was at our table served wirh a smiling face and was very pleasing and helpful excellebt service  next visit will come againread more,0.294,0.0,0.706
dear guest thank you for taking out the time to share this valuable feedback with us as grand hyatt mumbai we strive to deliver a superior service to all our guests and try to exceed our guests expectations we are absolutely delighted to know we could deliver so in your case too we are delighted to know we were able to create a memorable experience for you and the grand hyatt team will be highly motivated by your constructive comments grand hyatt stands with delivering the best of luxury hospitality and service and we are much delighted to know that you enjoyed every bit of it look forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.332,0.0,0.668
the gentry was phenomenal with a world class facilitythe food and beverage quality were good with a very helpful staffthe staff is very polite looking forward to more such interaction with you  sunil and teamread more,0.15,0.0,0.85
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
amazing service from roshan and his colleagues  loved it more for the service and attention  food was great specially the roast lamb and kebabs … sure to be back with some more memories here thank you read more,0.338,0.0,0.662
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
its great place to stay  staff were friendly caring and pleasant from the reception meals are very good and delicious mr farhaan is very kind and helpful in all services felt soo comfortable thank you so much farhaan would like to see you again 😊read more,0.532,0.0,0.468
dear guest thank you for taking out the time to share this valuable feedback with us as grand hyatt mumbai we strive to deliver a superior service to all our guests and try to exceed our guests expectations we are absolutely delighted to know we could deliver so in your case too we are delighted to know we were able to create a memorable experience for you and the grand hyatt team will be highly motivated by your constructive comments grand hyatt stands with delivering the best of luxury hospitality and service and we are much delighted to know that you enjoyed every bit of it look forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.332,0.0,0.668
the location is near to the airport and also the visa office staff was very friendly specifically want to name sarswati unati and keeth who made the breakfast experience extremely delightful the stay was pleasant relaxing and worth every pennyread more,0.334,0.0,0.666
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
great experience great services weddings or corporate events both have been a great experience should be on the top of the list hospitality at its best very humble staff and they are always there to help youread more,0.396,0.0,0.604
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
excellent hospitality  friendly environments cool property have great out for google event in grand haytt  lovely to be here with all my event crew member we love this hotel and specially great grand ballroom with good friendly memberread more,0.573,0.0,0.427
dear guest thank you for taking out the time to share this valuable feedback with us as grand hyatt mumbai we strive to deliver a superior service to all our guests and try to exceed our guests expectations we are absolutely delighted to know we could deliver so in your case too we are delighted to know we were able to create a memorable experience for you and the grand hyatt team will be highly motivated by your constructive comments grand hyatt stands with delivering the best of luxury hospitality and service and we are much delighted to know that you enjoyed every bit of it look forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.332,0.0,0.668
did an event here amazing customer service and hospitality by rajesh sharma pradeep narayan sanket naik  thank you team keep it up thoroughly impressed with the work its rare to find staff like this latelyread more,0.276,0.0,0.724
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
excellent service by indrabahadur and veerendra shukla their hospitality and attending guest was excellent  overall enjoyed the time here  food quality is good awesome experience amenities n quality provided  read more,0.405,0.0,0.595
dear guest thank you for taking out the time to share this valuable feedback with us as grand hyatt mumbai we strive to deliver a superior service to all our guests and try to exceed our guests expectations we are absolutely delighted to know we could deliver so in your case too we are delighted to know we were able to create a memorable experience for you and the grand hyatt team will be highly motivated by your constructive comments grand hyatt stands with delivering the best of luxury hospitality and service and we are much delighted to know that you enjoyed every bit of it look forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.332,0.0,0.668
wonderful experience there at the venue siyan kalpesh there was wonderful coordinating the things with us the experience is completely worth and we will plan our events here again at this wonderful venue thanksread more,0.311,0.0,0.689
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
very good service by john kalpesh kaushal and rajesh at grand hyatt mumbai they made the process very easy and seamless for us you can trust and rely on them without second doubt keep up the good work read more,0.342,0.0,0.658
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
beautiful stay   grand hyatt is a perfect place  to stay in mumbai india close to the airport it was very pleasant it was cozy and clean breakfast was excellent and incredibly varied the hotel team have always been friendly patient and helpful every department is  very professional love it …    great service delicious food  and comfortable stayread more,0.478,0.0,0.522
dear guest thank you for taking out the time to share this valuable feedback with us as grand hyatt mumbai we strive to deliver a superior service to all our guests and try to exceed our guests expectations we are absolutely delighted to know we could deliver so in your case too we are delighted to know we were able to create a memorable experience for you and the grand hyatt team will be highly motivated by your constructive comments grand hyatt stands with delivering the best of luxury hospitality and service and we are much delighted to know that you enjoyed every bit of it look forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.332,0.0,0.668
excellent service and hospitality by grant hyatt team special thanks to belle sarswati and angel for your service and taking care of our food   the check in services and room services are very quick you will feel specialread more,0.306,0.0,0.694
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
had an amazing time at a wedding we attended here the entire staff has been extremely warm and hospitable the rooms are huge and the views and stunning we had manoj show us around and help us quite a bit thanks a ton manoj read more,0.295,0.0,0.705
dear guest thank you for taking out the time to share this valuable feedback with us as grand hyatt mumbai we strive to deliver a superior service to all our guests and try to exceed our guests expectations we are absolutely delighted to know we could deliver so in your case too we are delighted to know we were able to create a memorable experience for you and the grand hyatt team will be highly motivated by your constructive comments grand hyatt stands with delivering the best of luxury hospitality and service and we are much delighted to know that you enjoyed every bit of it look forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.332,0.0,0.668
it’s great place to stay staff were very friendly caring and pleasant from the reception meals are very good and delicious… rooms are warm while outside is very coolmr saif is very kind and helpful in all services felt soo comfortable thank youu soo much saif would like to see you again  read more,0.445,0.0,0.555
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
the hotel staff is very nice the service is impeccable beyond my experience mr saif is very helpful and kind thank you so much hyatt staff and managers for being kind to us hospitality and services was really amazing  read more,0.362,0.0,0.638
dear guest thank you for taking out the time to share this valuable feedback with us as grand hyatt mumbai we strive to deliver a superior service to all our guests and try to exceed our guests expectations we are absolutely delighted to know we could deliver so in your case too we are delighted to know we were able to create a memorable experience for you and the grand hyatt team will be highly motivated by your constructive comments grand hyatt stands with delivering the best of luxury hospitality and service and we are much delighted to know that you enjoyed every bit of it look forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.332,0.0,0.668
had visited grand hyatt mumbai for friends wedding the service is top notch they stand for every guest throughout the event  team is really amazing specially the banquet team is the cherry on the top for wedding thankyou so muchread more,0.277,0.0,0.723
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
the staff n team is really awsomewould like to name mr rajesh venue manager and manoj buttler n other staff really so helpful and take care of each n every guest hotel ambience is really nice though read more,0.271,0.0,0.729
dear guest thank you for taking out the time to share this valuable feedback with us as grand hyatt mumbai we strive to deliver a superior service to all our guests and try to exceed our guests expectations we are absolutely delighted to know we could deliver so in your case too we are delighted to know we were able to create a memorable experience for you and the grand hyatt team will be highly motivated by your constructive comments grand hyatt stands with delivering the best of luxury hospitality and service and we are much delighted to know that you enjoyed every bit of it look forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.332,0.0,0.668
the cooperation  service received from rajesh sharma is the best he is just amazing at guest service one of the best experience received till now in the hyatt property thanks to mr rajesh sharma for making it memorableread more,0.301,0.0,0.699
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
it was a great experience to visit hyatt…had a very pleasant stay staff was very helpful and respective…special thanks to manoj  great support from banquet team…the whole staff is very great everything on time  thanks teams for this excellent service read more,0.494,0.0,0.506
