Reviews,Positive,Negative,Neutral
dear guest thank you for taking out the time to share this valuable feedback with us as grand hyatt mumbai we strive to deliver a superior service to all our guests and try to exceed our guests expectations we are absolutely delighted to know we could deliver so in your case too we are delighted to know we were able to create a memorable experience for you and the grand hyatt team will be highly motivated by your constructive comments grand hyatt stands with delivering the best of luxury hospitality and service and we are much delighted to know that you enjoyed every bit of it look forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.332,0.0,0.668
great hotel amazing food good hospitality especially good for mice events and the banquet team does a great job of managing the larger expectations the location also is in close proximity of required travel read more,0.369,0.0,0.631
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall stay special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences  read more,0.391,0.0,0.609
experienced hospitality with good food ambience of ballroom was well conducive for the program organized cooling was optimum to reduce carbon emission we enjoyed the food quality as well as varietyread more,0.271,0.0,0.729
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall stay special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences  read more,0.391,0.0,0.609
highly enjoyable and peaceful stay that is how i can sum up my stay  my stay with my family was not that long we stayed here for  nights but i was blown away by the hospitality and the politeness of the staff probably the best i have interacted with my daughter had become friends with a staff member her name was kenei   absolutely sweet of her to send up a delicious chocolate cake for her  and that too twice at the time of checkout when the staff came to know about this they gave some pancakes in a dish decorated with rose petals and all it had an icing of a choc sauce which said come back soon  some of the staff members also took a photograph of us on the breakfast table sometimes such gestures touch you more than any amenities or any other luxury  the…read more,0.143,0.0,0.857
dear harsh thank you for taking out the time to share this valuable feedback with us as grand hyatt mumbai we strive to deliver a superior service to all our guests and try to exceed our guests expectations we are absolutely delighted to know we could deliver so in your case too we are delighted to know we were able to create a memorable experience for you and the grand hyatt team will be highly motivated by your constructive comments grand hyatt stands with delivering the best of luxury hospitality and service and we are much delighted to know that you enjoyed every bit of it look forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.328,0.017,0.655
it was a great experience to visit hyatt  i had a very pleasant stay staff was very courteous and receptive the rooms are spacious food is good and auto is mesmerizing a special thanks to indra and dipesh read more,0.368,0.0,0.632
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall stay special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences  read more,0.391,0.0,0.609
good food very specious rooms  very welcoming stuff the front desk to the restaurent waiter specially indra and dipesh were very welcoming the good had quit bit of variety as it’s a buffet  i would stay again and i would recommend this hotel read more,0.272,0.0,0.728
dear abdul  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
amazing experience at grandhyatt mumbaii am from kenyaso i love to eat indian breakfast dosa and stuff potatoexcellent service by the staff name indra and dipeshthank you so much definitely we wil visit againread more,0.255,0.0,0.745
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
my advice to anyone staying at this hotel is to check your credit card statement after you have checked out the hotel debited my accommodation and the preauthorisation amount from my card it has been one month and the money is still not returned countless emails sent heartfelt apologies and commitments have been received but no inr firstly it’s  days to return the funds now it’s  days i’ve escalated within the hyatt community but have had no response i’ve spent more time on trying to resolve this issue than i spent in india on the trip what a jokeread more,0.08,0.052,0.868
dear steve  thank you for taking the time out to share this review with us we regret to learn that your experience with grand hyatt mumbai did not meet with your expectations we value every feedback that we receive from our guests and look at it as an opportunity to improve our hospitality and services and as such take them very seriously please be rest assured that our team will connect with you and resolve the issue as a priority   on behalf of the entire team we wish you well and look forward to host you back with all good intentions of turning around your experience with us  warm regards read more,0.261,0.035,0.703
amazing experience at grand hyatt mumbai at sunday brunchit was one of the best buffet restaurants in mumbai townif u all are not visited must try itenjoyed live music exceptional service by roshanramakrant  indraand anujathank you allread more,0.239,0.0,0.761
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences  read more,0.391,0.0,0.609
nice service from indra and dhuvrit and yuvraj were excellent and very professional the breakfast is good and try changing the dinner to different varieties otherwise i’m happy with everything here  read more,0.311,0.0,0.689
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall stay special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences  read more,0.391,0.0,0.609
great experience  amazing hospitality excellent service by dhuvrit and indralarge spread of breakfast two nights i stayed i love to drink pomegranate juice it was so freshthank you all definitely i will visit againread more,0.381,0.0,0.619
dear bhopin  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
loved the overnight stay the room was spacious and very well done nice selection of channels on the tv too the attached washroom was also very spacious and had all the toiletries provided the food prepared for our event was very nice and flavourful the spread was quite extensive same with the breakfast buffet overall a very pleasant stay locationwise this is quite close to the airport so thats always a plus when traveling via flights read more,0.199,0.0,0.801
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences  read more,0.391,0.0,0.609
we had a great time since we have arrived everything about our stay was perfect friendly behavior positive approach of all the staff the breakfast spread was eminently huge overall a great experience  special thanks to ganga  outlet manager  indra muskan roshan yuvraj and trisha at the breakfast  goarak and charles from housekeeping  rohit at bell desk thank you all read more,0.354,0.0,0.646
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
banquet team was very efficient and courteous my best wishes to the team keep up the good work the event was a grand success thanks to the efforts of everyone at grand hyatt will definitely recommend to my colleagues to hold their event hereread more,0.494,0.0,0.506
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
very good service by banquet team there behaviour and presented very good manner  there reached on time when any urgency theye do not worry about their work and very satisfied with their work  bunquread more,0.307,0.0,0.693
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall stay special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences  read more,0.391,0.0,0.609
excellent performance and experience good behaviour specially thanks to banquet team members always helpful live to visit and take all benquet team i full recommendation team to everyone if anyone needs proper service read more,0.284,0.0,0.716
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall stay special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences  read more,0.391,0.0,0.609
excellent service mainly fnb in the fifty five east particularly like to thank some restaurant staff  selvam chef indra hareram rejoy server ganga food manager extremely great gym and pool  the instructors  nilesh were kind enough to provide me free training and diet charts one of the best hotel gyms i have seen rooms are very spacious very prompt services  also  usually star studded in case you like to catch a glimpse of celebs read more,0.285,0.0,0.715
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall stay special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences  read more,0.391,0.0,0.609
amazing location hospitality is fantastic special thanks to roshan and indra enjoyed our stay breakfast was really good esp paneer paratha mysore masala dosa selection of breads is great desserts could have been better dinner buffet  in fifty five east was goodread more,0.431,0.0,0.569
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
great experience at  grand hyatt mumbaitop notch service by indraroshanyuvarajsohamwho has taken care at breakfast timemanager ganga provides our needslarge spread at breakfastthank you so muchread more,0.3,0.0,0.7
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences  read more,0.391,0.0,0.609
the hotel needs a complete makeover including their people the room allocated had icy cold breeze from the vent despite switching the ac off room changed after  hours when i showed up at the front office myself duty manager too busy to respond to my calls changed room had a musty smell changed again it has a balcony but a dirty one the wc flush didnt work which maintenance fixed thankfully  breakfast great thats why the  stars so the kitchens working well but ops is in bad shaperead more,0.115,0.082,0.803
dear punit  thank you for taking the time out to share this review with us we regret to learn that your experience with grand hyatt mumbai did not meet with your expectations we value every feedback that we receive from our guests and look at it as an opportunity to improve our hospitality and services and as such take them very seriously we have made a note of your feedback and certainly will share the same with our team to ensure a better hospitality experience as it holds a high value to us  on behalf of the entire team we wish you well and look forward to host you back with all good intentions of turning around your experience with us  warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.265,0.029,0.706
it was an amazing experience with amazing hospitality from check in experience to check out  breakfast spread and the service was top notch  i would really like to thank siddhesh from bell desk for being so kind and generous through out my stay  thank you chef riddhi and gauri from breakfast for their service how they sweetly made me micky mouse pancake was the highlight of that day people like them can always make things better read more,0.355,0.0,0.645
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
amazing service by rajesh sharma   staff is very polite and helpful   food was amazing   great hotel to stay in   love the ambiance   loved the coffee   rooms are really spacious and comfortable   read more,0.504,0.0,0.496
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall stay special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
amazing  service by rajesh sharma  must visit hotel  had a wonderful meal   staff was very helpful   do visit next time when you are in mumbai   loved the hospitality   rooms were good and comfortable  read more,0.416,0.0,0.584
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
it been a very good service given by mr raju banquet team excellent customer service we will recommend to this others too best of luck  special thank you to baunqet team for prompt response and special support thank you 👍read more,0.481,0.0,0.519
dear priyanka  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall stay special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
great service by banquet team  inuding sunil and sayan grrat team work to make our event successful and smooth  always with a smile and enthusiasm  congratulations  will come back sgain and again read more,0.372,0.0,0.628
dear ranjit  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall stay special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
great service ashitosh and makarand these gentlemen provided very prompt service at the restaurant the food at the buffet was satisfactory food was multi cuisine will recommend the restaurant to friends and acquaintancesread more,0.289,0.0,0.711
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences  read more,0.391,0.0,0.609
we had a corporate event and banquet team was just perfect in setting everything up also they were always around to help with any last minute changes the food spread and taste was also very good and they could accomodate special food requests from a few guests  read more,0.215,0.0,0.785
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences  read more,0.391,0.0,0.609
great service of the hospitality department very polite in talking with the guests service food experience was totally next level and the ambience was pleasant for even a disturbed person with get good mood special thanks to you banquet team read more,0.292,0.048,0.661
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences  read more,0.391,0.0,0.609
banquet person are very cooperativethe response of team regarding any problem is very quick service is very good hotel banquet is best for coperate event great venue much recommended banquet are bestread more,0.302,0.061,0.636
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences  read more,0.391,0.0,0.609
excellent experience  good behaviour special thanks to banquet team for always helpful and ready to give their service … live to visit and take the services again  again i fully recommend them to everyone if anyone need proper service and hospitality do visit the place read more,0.337,0.0,0.663
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences  read more,0.391,0.0,0.609
the event was a grand success hospitality and food was outstanding staff very courteous  we would certainly do our next event in grand hyatt thanks a lot banquet team was excellent and special thanks to themread more,0.542,0.0,0.458
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
my room booking was under map and i checked in on a saturday and clarified during checkin if i can have lunch on the next day which the staff said is possible next day when i was checking out and wanted to have lunch  the staff denied the privilege saying it is sunday brunch and will not be able to help me so i was left to fend for myself read more,0.067,0.038,0.895
dear guest  thank you for taking the time out to share this review with us we regret to learn that your experience with grand hyatt mumbai did not meet with your expectations we value every feedback that we receive from our guests and look at it as an opportunity to improve our hospitality and services and as such take them very seriously we have made a note of your feedback and certainly will share the same with our team to ensure a better hospitality experience as it holds a high value to us  on behalf of the entire team we wish you well and look forward to host you back with all good intentions of turning around your experience with us  warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.265,0.029,0.706
i spent  nights at the hotel attending a conference which took also place at the hotel the staff was extremely kind and attentive the room spacy and cosy it was clean everywhere  simply a perfect stayread more,0.229,0.0,0.771
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences  read more,0.391,0.0,0.609
hotel is a little old but the hospitality is the same there are some staff that exceeds expectations like hritik from housekeeping the one thing i wanna say is mumbai weather is full of surprises will be back for some more vacay stay thankyou grand hyatt and teamread more,0.173,0.0,0.827
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences  read more,0.391,0.0,0.609
china house best cuisine authentic food good ambience good staff amit best and your go to  person just give a shout and he will be there for you best experience excellent must visit for real experience read more,0.409,0.0,0.591
dear vijay  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences  read more,0.391,0.0,0.609
 kaushal  somnath  rahul very good and cooperative staff felt like home the food was lovely and the ambience was also good had experienced some new dishes as well the decoration of the food items also goodread more,0.312,0.0,0.688
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences  read more,0.391,0.0,0.609
mr rajesh sharma is a super coprative  person thanks so much sharma ji special thanks to mr sunil sharma for supervision services  will come again soon thanks so much for everything and some think about the hotel its a nice propertyread more,0.335,0.0,0.665
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences  read more,0.391,0.0,0.609
rajesh sharma from banquets has done a super job with f and b and goes out of his way to make sure we are well fed and take care off   from getting me a juice to food to water  top guy and deserves recognition  read more,0.245,0.0,0.755
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall stay special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
very nice tea ☕ i happy with good morning tea hotel staff is very good helping nature always smile face all staff  thanks hotel grand hayaat staff banquet team very nice good saporting staff i am very happy at this time read more,0.508,0.0,0.492
dear akhtara  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall stay special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
good  service good food good setup  like this hotel  hotel staf also tahe codanit with me i like ther tacking  ton  best vives fast service good ambience overall very good comfortable and pleasant stay at the grand hyatt special thanks to the banquet temsread more,0.552,0.0,0.448
dear jayesh  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall stay special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
hotel environment is good with good staffs and ambient rooms food is awesome and with good infrastructure suitable for a good stay recommend to visit on holidays or business trips very accessible as it is close to the airport also special thanks to rajesh and banquet team read more,0.398,0.0,0.602
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall stay special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
the hospitality is very good  staff is very cooperative  very good experience  nice place for events  very good chain of hotels in india  very spacious ballrooms  very cosy atmosphere  special thanks kaushal rajesh nilesh  somnath   read more,0.377,0.0,0.623
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall stay special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
grand hyatt hotal is best af the hotal in india services very nice food and setup is very nice banquets service nice stap attitude very nice and good hotal  and grand hyatt banquet holl looking very nice ❤️👌👌👌👌read more,0.609,0.0,0.391
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall stay special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
visited china house with my wife for her birthday enjoyed their  food and service a great thumbsup for amay pillai  his team for our wonderful dinner night will surely visit again to this outlet and also will recommend to my family and friendsread more,0.297,0.0,0.703
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall stay special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
the hotel as the name suggest is grand in every sense the rooms are huge but a little dated and need some refurbishment  the check in as well as check out process was a little time consuming as there were only few desks were functional  the breakfast buffet spread was huge with a wide variety of options and cuisines  the hotel is close to bkc and hence a good option for those wanting to stay inbetween the office and the airport  hotel has a good fitness centre as well as steam and saunaread more,0.206,0.0,0.794
dear ankit  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
food and service excellent by indrai  am long staying guest captainfood were deliciousgrand hyatt mumbai hotel i had great experiencemanager ganga who is always take care of my all needsthank youread more,0.275,0.0,0.725
dear guest  greetings 		 thank you for your generous review we are glad you enjoyed your stay at the hotel our associates strive to deliver our guests with grand experiences and reviews such as yours is a testament to their hard work we look forward to welcoming you soon again to grand hyatt mumbai warm regards	 dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.357,0.016,0.627
good ambience and good customer serviceespecially great service provided by indragangayuvraj and dhuvrit at the fifty five east restaurantoverall very comfortable and pleasant stay at the grand hyattread more,0.466,0.0,0.534
dear dilip  greetings 		 thank you for your generous review we are glad you enjoyed your stay at the hotel our associates strive to deliver our guests with grand experiences and reviews such as yours is a testament to their hard work we look forward to welcoming you soon again to grand hyatt mumbai warm regards	 dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.357,0.016,0.627
i checked out at the front desk i wanted to get a hard copy of the invoice but the staff refused to give it to me he then said they would email me instead this was fine but at the end they did not email me at all after i was back to hk i emailed the hotel twice to request the soft copy totally being ignored with no replies then i called them up directly but they still failed to fulfill my simple request so disappointed with this hotel the service really sucksread more,0.053,0.178,0.769
dear guest thank you for taking the time out to share this review with us we regret to learn that your experience with grand hyatt mumbai did not meet with your expectations we are more concerned to read about the inconveniences you faced in regards to our services we value every feedback that we receive from our guests and look at it as an opportunity to improve our hospitality and services and as such take them very seriously we have made a note of your feedback and certainly will share the same with our team to ensure a better hospitality experience as it holds a high value to us on behalf of the entire team we wish you well and look forward to host you back in our hotel with all good intentions of turning around your experience with us warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences  read more,0.237,0.026,0.737
hotels with the best pillows typically use a blend of luxury down and feather and they do so for good reason firstly its a combination that feels extremely comfortable yet also supportive thank u sooo much for housekeeping staff for everythingread more,0.298,0.0,0.702
dear darshan  greetings 		 thank you for your generous review we are glad you enjoyed your stay at the hotel our associates strive to deliver our guests with grand experiences and reviews such as yours is a testament to their hard work we look forward to welcoming you soon again to grand hyatt mumbai warm regards	 dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.357,0.016,0.627
we are long staying guest every time excelent service by indra dipesh ashutosh unnati and roshan we are happy to staying at grand hyatt．food were excellent ．hygine floor．thank you guys we will come back soonread more,0.24,0.0,0.76
dear guest thank you for taking out the time to share this valuable feedback with us as grand hyatt mumbai we strive to deliver a superior service to all our guests and try to exceed our guests expectations we are absolutely delighted to know we could deliver so in your case too we are delighted to know we were able to create a memorable experience for you and the grand hyatt team will be highly motivated by your constructive comments grand hyatt stands with delivering the best of luxury hospitality and service and we are much delighted to know that you enjoyed every bit of it look forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences  read more,0.332,0.0,0.668
i stayed here for  days rooms are clean and spacious breakfast is awesome the restaurant guys need to learn some etiquette’s when they are in the servicing area housekeeping team is good at their work especially ritik who made my stay more worthwhile will visit againread more,0.224,0.0,0.776
dear joey  greetings 		 thank you for your generous review we are glad you enjoyed your stay at the hotel our associates strive to deliver our guests with grand experiences and reviews such as yours is a testament to their hard work we look forward to welcoming you soon again to grand hyatt mumbai warm regards	 dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.357,0.016,0.627
great service by rushabh bhosale at cellini at grand hyatt mumbai  tasty italian foods are available pizza and other veg as well as non veg tasty foods are available it’s better than chinese and other restaurants read more,0.262,0.0,0.738
dear guest  greetings 		 thank you for your generous review we are glad you enjoyed your stay at the hotel our associates strive to deliver our guests with grand experiences and reviews such as yours is a testament to their hard work we look forward to welcoming you soon again to grand hyatt mumbai warm regards	 dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.357,0.016,0.627
a lovely experience at the hotel as well as at the fifty five east restaurant for brunch thank you to anuja rajesh roshan soham and others for making the meal such a memorable experience the food was delicious and we will definitely be backread more,0.27,0.0,0.73
